crop_id,class,labeler,note
oh_3918602_-8458759:f36d8f3:2017,unknown,claude-code,
oh_3908741_-8462895:f6ee336:2018,removed,claude-code,concrete plaza
oh_3909546_-8464147:f9b8516:2019,removed,claude-code,bare dirt
oh_3912431_-8456662:fad338a:2012,tennis,claude-code,
oh_3908590_-8462874:fb195bd:2016,tennis,claude-code,
oh_3917439_-8459248:f0fed64:2021,tennis,claude-code,
oh_3911816_-8455138:fae372c:2014,tennis,claude-code,
oh_3909865_-8463312:f12161b:2021,tennis,claude-code,
oh_3918154_-8460075:f9bf515:2017,tennis,claude-code,
oh_3908383_-8462934:f99ba5e:2011,tennis,claude-code,
oh_3912431_-8456662:fad338a:2022,tennis,claude-code,
oh_3916667_-8459136:fe35c25:2015,unknown,claude-code,
oh_3913209_-8468421:f24b5a7:2013,unknown,claude-code,
oh_3912431_-8456662:fe94873:2018,hybrid,claude-code,grid of pickleball lines
oh_3913488_-8463969:f835f81:2013,unknown,claude-code,
oh_3911334_-8460911:fd09a84:2013,unknown,claude-code,
oh_3918154_-8460075:f2ebf7a:2021,tennis,claude-code,
oh_3912431_-8456662:fad338a:2015,tennis,claude-code,
oh_3909546_-8464147:f521cd9:2021,removed,claude-code,roof
oh_3909556_-8456863:fe2f17f:2021,tennis,claude-code,
oh_3911816_-8455138:fae372c:2018,hybrid,claude-code,
oh_3917402_-8474933:f44db95:2014,removed,claude-code,grass
oh_3908590_-8462874:fb195bd:2019,removed,claude-code,cracked slab
oh_3913209_-8468421:f6e15eb:2021,unknown,claude-code,
oh_3910137_-8462545:f11a104:2016,tennis,claude-code,
oh_3908406_-8462136:f5c8357:2012,tennis,claude-code,
oh_3909556_-8456863:fe2f17f:2020,unknown,claude-code,
oh_3917402_-8474933:f98a9ee:2014,unknown,claude-code,
oh_3917305_-8470508:f119247:2017,tennis,claude-code,
oh_3911281_-8464175:ff07f62:2014,tennis,claude-code,
oh_3910137_-8462545:f11a104:2014,tennis,claude-code,
oh_3911816_-8455138:f2caa76:2016,hybrid,claude-code,dense pickleball line grid
oh_3913488_-8463969:f835f81:2011,tennis,claude-code,
oh_3913209_-8468421:f24b5a7:2011,unknown,claude-code,
oh_3908846_-8459179:fb97fd6:2011,tennis,claude-code,
oh_3909865_-8463312:f12161b:2016,hybrid,claude-code,
oh_3913209_-8468421:f6e15eb:2012,unknown,claude-code,
oh_3910137_-8462545:f11a104:2021,tennis,claude-code,
oh_3912431_-8456662:fad338a:2017,tennis,claude-code,
oh_3909556_-8456863:f479434:2019,hybrid,claude-code,
oh_3913488_-8463969:f835f81:2017,tennis,claude-code,
oh_3908846_-8459179:fb97fd6:2012,tennis,claude-code,
oh_3908383_-8462934:f99ba5e:2018,tennis,claude-code,
oh_3912431_-8456662:f875907:2013,hybrid,claude-code,purple court with pickleball lines
oh_3910197_-8461058:f0b5b0f:2015,tennis,claude-code,
oh_3910197_-8461058:f0b5b0f:2019,tennis,claude-code,
oh_3914711_-8458754:fa9dc97:2021,tennis,claude-code,
oh_3913488_-8463969:f18d529:2019,hybrid,claude-code,
oh_3911334_-8460911:fd09a84:2022,tennis,claude-code,
oh_3913491_-8461064:fe5280c:2021,hybrid,claude-code,pickleball lines on tennis
oh_3909546_-8464147:f521cd9:2018,tennis,claude-code,
oh_3909556_-8456863:fb803f0:2020,unknown,claude-code,
oh_3918901_-8459899:f37c8e7:2015,tennis,claude-code,
oh_3909556_-8456863:f479434:2011,tennis,claude-code,
oh_3909546_-8464147:f0625c2:2017,tennis,claude-code,
oh_3917305_-8470508:fd27ff5:2014,unknown,claude-code,
oh_3912431_-8456662:fb4faf8:2015,tennis,claude-code,
oh_3918602_-8458759:f88e995:2017,tennis,claude-code,
oh_3909546_-8464147:f0625c2:2016,tennis,claude-code,
oh_3913491_-8461064:f8ee62d:2011,tennis,claude-code,
oh_3908406_-8462136:f5c8357:2015,tennis,claude-code,
oh_3911816_-8455138:fae372c:2015,unknown,claude-code,
oh_3908555_-8459768:f658f80:2013,hybrid,claude-code,
oh_3917402_-8474933:f08335e:2019,tennis,claude-code,
oh_3909546_-8464147:f0625c2:2020,removed,claude-code,parking lot
oh_3913488_-8463969:f18d529:2015,tennis,claude-code,
oh_3909546_-8464147:f9b8516:2017,tennis,claude-code,
oh_3909556_-8456863:f4fc21f:2012,tennis,claude-code,
oh_3909546_-8464147:f9b8516:2021,removed,claude-code,roof
oh_3914712_-8464763:f973d68:2011,tennis,claude-code,
oh_3909556_-8456863:fb803f0:2019,tennis,claude-code,
oh_3908406_-8462136:f5c8357:2019,tennis,claude-code,
oh_3908846_-8459179:fba09ed:2011,tennis,claude-code,
oh_3909546_-8464147:f0625c2:2021,removed,claude-code,roof
oh_3914711_-8458754:f6e2143:2011,tennis,claude-code,
oh_3918602_-8458759:f88e995:2021,tennis,claude-code,
oh_3910137_-8462545:f11a104:2017,unknown,claude-code,
oh_3914711_-8458754:fa14bb0:2021,tennis,claude-code,
oh_3908282_-8462567:f344a76:2011,tennis,claude-code,
oh_3911281_-8464175:ff07f62:2013,tennis,claude-code,
oh_3908282_-8462567:f344a76:2021,tennis,claude-code,
oh_3908555_-8459768:f658f80:2020,tennis,claude-code,
oh_3909556_-8456863:f479434:2021,tennis,claude-code,
oh_3915569_-8461994:ff7f4ec:2017,tennis,claude-code,
oh_3908590_-8462874:fb195bd:2015,unknown,claude-code,
oh_3909556_-8456863:fb803f0:2012,tennis,claude-code,
oh_3912431_-8456662:fe94873:2020,tennis,claude-code,
oh_3914711_-8458754:fa9dc97:2013,tennis,claude-code,
oh_3913488_-8463969:f98f14b:2019,unknown,claude-code,
oh_3917305_-8470508:f760018:2020,tennis,claude-code,
oh_3919299_-8463621:f5190a9:2013,hybrid,claude-code,
oh_3914711_-8458754:f6e2143:2019,tennis,claude-code,
oh_3908282_-8462567:f12032f:2016,hybrid,claude-code,
oh_3911816_-8455138:fae372c:2017,unknown,claude-code,
oh_3914711_-8458754:fa9dc97:2019,tennis,claude-code,
oh_3912431_-8456662:fa68584:2012,tennis,claude-code,
oh_3908282_-8462567:f344a76:2016,tennis,claude-code,
oh_3915311_-8466972:f5c1e9f:2011,pickleball,claude-code,three pickleball courts in column
oh_3912431_-8456662:fb4faf8:2017,tennis,claude-code,
oh_3918602_-8458759:fb7b311:2021,tennis,claude-code,
oh_3908282_-8462567:f344a76:2013,tennis,claude-code,
oh_3917305_-8470508:f760018:2014,tennis,claude-code,
oh_3908741_-8462895:f6ee336:2016,removed,claude-code,bare dirt
oh_3913488_-8463969:f18d529:2017,tennis,claude-code,
oh_3909865_-8463312:f12161b:2018,hybrid,claude-code,
oh_3912431_-8456662:fa68584:2022,tennis,claude-code,
oh_3908846_-8459179:fba09ed:2019,unknown,claude-code,
oh_3919046_-8466010:f7f8391:2013,tennis,claude-code,
oh_3908383_-8462934:f99ba5e:2017,unknown,claude-code,
oh_3912431_-8456662:fad338a:2013,tennis,claude-code,
oh_3910137_-8462545:f11a104:2018,tennis,claude-code,
oh_3908406_-8462136:f5c8357:2020,tennis,claude-code,
oh_3914711_-8458754:fd80d9c:2013,tennis,claude-code,
oh_3914711_-8458754:f004053:2015,tennis,claude-code,
oh_3916667_-8459136:fe35c25:2013,unknown,claude-code,
oh_3910137_-8462545:f11a104:2011,tennis,claude-code,
oh_3909556_-8456863:f4fc21f:2022,removed,claude-code,cracked slab
oh_3912589_-8464327:f106173:2019,unknown,claude-code,
oh_3917402_-8474933:f08335e:2018,hybrid,claude-code,
oh_3913488_-8463969:f293b47:2013,unknown,claude-code,
oh_3909556_-8456863:fb803f0:2018,tennis,claude-code,
oh_3911334_-8460911:fd09a84:2011,unknown,claude-code,
oh_3913488_-8463969:f98f14b:2017,unknown,claude-code,
oh_3917305_-8470508:f119247:2011,unknown,claude-code,
oh_3909556_-8456863:f4fc21f:2013,tennis,claude-code,
oh_3909556_-8456863:fe2f17f:2014,unknown,claude-code,
oh_3910197_-8461058:f31aa34:2011,tennis,claude-code,
oh_3908590_-8462874:fb195bd:2014,tennis,claude-code,
oh_3913488_-8463969:f98f14b:2013,unknown,claude-code,
oh_3913488_-8463969:f64e340:2021,unknown,claude-code,
oh_3913209_-8468421:f24b5a7:2021,unknown,claude-code,
oh_3917402_-8474933:f44db95:2016,tennis,claude-code,
oh_3915569_-8461994:fc34cfd:2019,tennis,claude-code,
oh_3908555_-8459768:f65494c:2014,tennis,claude-code,
oh_3918602_-8458759:f88e995:2011,unknown,claude-code,
oh_3914175_-8465730:ffeec32:2015,removed,claude-code,bare dirt
oh_3908282_-8462567:f12032f:2021,unknown,claude-code,
oh_3909556_-8456863:fb803f0:2021,tennis,claude-code,
oh_3917305_-8470508:fd27ff5:2011,unknown,claude-code,
oh_3918154_-8460075:f2ebf7a:2017,tennis,claude-code,
oh_3915569_-8461994:fdb588b:2021,tennis,claude-code,
oh_3908555_-8459768:ff6a906:2021,removed,claude-code,
oh_3911816_-8455138:fae372c:2012,tennis,claude-code,
oh_3908741_-8462895:f6ee336:2021,unknown,claude-code,
oh_3918154_-8460075:f2ebf7a:2015,tennis,claude-code,
oh_3919299_-8463621:f5190a9:2019,tennis,claude-code,
oh_3917439_-8459248:f0fed64:2017,tennis,claude-code,
oh_3916667_-8459136:fe35c25:2011,unknown,claude-code,
oh_3917402_-8474933:f98a9ee:2018,tennis,claude-code,
oh_3919046_-8466010:f7f8391:2011,tennis,claude-code,
oh_3912431_-8456662:fe94873:2019,tennis,claude-code,
oh_3909865_-8463312:fbc670a:2011,tennis,claude-code,
oh_3909556_-8456863:fb803f0:2013,hybrid,claude-code,
oh_3912431_-8456662:f875907:2016,tennis,claude-code,
oh_3913491_-8461064:fe5280c:2015,unknown,claude-code,
oh_3909139_-8463436:fda52e4:2018,tennis,claude-code,
oh_3917305_-8470508:fd27ff5:2018,unknown,claude-code,
oh_3908555_-8459768:f4af1c1:2019,tennis,claude-code,
oh_3909865_-8463312:fbc670a:2012,tennis,claude-code,
oh_3913491_-8461064:fe5280c:2019,tennis,claude-code,
oh_3917305_-8470508:fd27ff5:2019,unknown,claude-code,
oh_3913488_-8463969:f64e340:2011,unknown,claude-code,
oh_3913209_-8468421:f6e15eb:2019,unknown,claude-code,
oh_3915311_-8466972:f00d144:2021,pickleball,claude-code,three pickleball courts in column
oh_3908555_-8459768:f658f80:2021,tennis,claude-code,
oh_3918154_-8460075:f2ebf7a:2011,tennis,claude-code,
oh_3912589_-8464327:f106173:2015,tennis,claude-code,
oh_3908555_-8459768:ff6a906:2015,tennis,claude-code,
oh_3915569_-8461994:fdb588b:2013,tennis,claude-code,
oh_3909865_-8463312:fbc670a:2021,tennis,claude-code,tennis with basketball key painted
oh_3908555_-8459768:f4af1c1:2020,tennis,claude-code,
oh_3912431_-8456662:fa68584:2020,tennis,claude-code,
oh_3909865_-8463312:f12161b:2012,tennis,claude-code,
oh_3912589_-8464327:f106173:2017,unknown,claude-code,
oh_3908741_-8462895:f6ee336:2019,removed,claude-code,bare dirt
oh_3917305_-8470508:f760018:2022,tennis,claude-code,
oh_3917402_-8474933:f44db95:2019,tennis,claude-code,
oh_3914712_-8464763:f6e18a9:2013,hybrid,claude-code,
oh_3915569_-8461994:ff7f4ec:2021,tennis,claude-code,
oh_3917402_-8474933:f44db95:2017,tennis,claude-code,
oh_3909865_-8463312:f12161b:2013,tennis,claude-code,
oh_3913488_-8463969:f835f81:2015,tennis,claude-code,
oh_3908015_-8461682:fd73785:2013,tennis,claude-code,
oh_3914712_-8464763:fd71aed:2011,tennis,claude-code,
oh_3917305_-8470508:f760018:2016,tennis,claude-code,
oh_3908015_-8461682:fd73785:2016,tennis,claude-code,
oh_3911816_-8455138:fae372c:2020,tennis,claude-code,
oh_3908555_-8459768:f65494c:2019,tennis,claude-code,
oh_3914381_-8460761:f2cf0ed:2013,unknown,claude-code,
oh_3914712_-8464763:f026383:2013,hybrid,claude-code,
oh_3916667_-8459136:fa81317:2011,unknown,claude-code,
oh_3918602_-8458759:fb7b311:2017,unknown,claude-code,bare clay
oh_3909556_-8456863:fb803f0:2016,tennis,claude-code,
oh_3911816_-8455138:f2caa76:2014,unknown,claude-code,
oh_3916667_-8459136:fa81317:2019,tennis,claude-code,
oh_3908383_-8462934:f99ba5e:2020,removed,claude-code,cracked slab
oh_3909556_-8456863:f3b1dd9:2018,hybrid,claude-code,
oh_3917402_-8474933:f08335e:2020,tennis,claude-code,
oh_3915392_-8458530:f17ea96:2021,unknown,claude-code,
oh_3909556_-8456863:f3b1dd9:2016,tennis,claude-code,
oh_3908555_-8459768:ff6a906:2012,tennis,claude-code,
oh_3917305_-8470508:fd27ff5:2020,unknown,claude-code,
oh_3914711_-8458754:f6e2143:2021,tennis,claude-code,
oh_3908282_-8462567:f12032f:2012,tennis,claude-code,
oh_3909556_-8456863:fe2f17f:2022,tennis,claude-code,
oh_3914381_-8460761:f2cf0ed:2015,unknown,claude-code,
oh_3913488_-8463969:f293b47:2017,unknown,claude-code,
oh_3910197_-8461058:f0b5b0f:2021,tennis,claude-code,
oh_3912431_-8456662:f875907:2015,tennis,claude-code,
oh_3914711_-8458754:fa14bb0:2011,tennis,claude-code,
oh_3911816_-8455138:f2caa76:2018,hybrid,claude-code,
oh_3913209_-8468421:f24b5a7:2015,unknown,claude-code,
oh_3914712_-8464763:fd77452:2015,tennis,claude-code,
oh_3913209_-8468421:f6e15eb:2018,unknown,claude-code,
oh_3908555_-8459768:f4af1c1:2016,hybrid,claude-code,
oh_3909556_-8456863:f479434:2013,tennis,claude-code,
oh_3911816_-8455138:f2caa76:2021,hybrid,claude-code,
oh_3911281_-8464175:ff07f62:2015,tennis,claude-code,
oh_3913488_-8463969:f18d529:2021,unknown,claude-code,
oh_3909546_-8464147:f0625c2:2011,tennis,claude-code,
oh_3908555_-8459768:f4af1c1:2015,tennis,claude-code,
oh_3910197_-8461058:f31aa34:2019,tennis,claude-code,
oh_3917305_-8470508:fd27ff5:2017,removed,claude-code,
oh_3908555_-8459768:f4af1c1:2022,removed,claude-code,baseball infield
oh_3912431_-8456662:fb4faf8:2020,tennis,claude-code,
oh_3913491_-8461064:fe89a47:2021,pickleball,claude-code,two pickleball courts
oh_3909546_-8464147:f521cd9:2020,removed,claude-code,roof
oh_3917305_-8470508:f119247:2013,tennis,claude-code,
oh_3913883_-8461024:fd49e80:2021,removed,claude-code,
oh_3908015_-8461682:fd098f3:2014,unknown,claude-code,
oh_3916667_-8459136:fa81317:2015,unknown,claude-code,
oh_3908555_-8459768:ff6a906:2016,hybrid,claude-code,
oh_3915311_-8466972:f5c1e9f:2015,pickleball,claude-code,three pickleball courts in column
oh_3915569_-8461994:fc34cfd:2015,tennis,claude-code,
oh_3909546_-8464147:f521cd9:2013,tennis,claude-code,
oh_3910197_-8461058:f31aa34:2021,tennis,claude-code,
oh_3909556_-8456863:fb803f0:2011,tennis,claude-code,
oh_3909546_-8464147:f521cd9:2012,tennis,claude-code,
oh_3910197_-8461058:f0b5b0f:2012,tennis,claude-code,
oh_3909139_-8463436:fda52e4:2011,unknown,claude-code,
oh_3908383_-8462934:f99ba5e:2015,tennis,claude-code,
oh_3911281_-8464175:ff07f62:2022,removed,claude-code,cracked slab
oh_3912431_-8456662:fa68584:2017,tennis,claude-code,
oh_3909556_-8456863:f4fc21f:2016,tennis,claude-code,
oh_3909556_-8456863:f7f2327:2018,tennis,claude-code,
oh_3908846_-8459179:fba09ed:2015,unknown,claude-code,
oh_3910197_-8461058:f31aa34:2012,tennis,claude-code,
oh_3911281_-8464175:ff07f62:2021,hybrid,claude-code,
oh_3909546_-8464147:f0625c2:2018,tennis,claude-code,
oh_3917305_-8470508:f760018:2019,tennis,claude-code,
oh_3915311_-8466972:f5c1e9f:2019,pickleball,claude-code,three pickleball courts in column
oh_3909556_-8456863:f4fc21f:2018,hybrid,claude-code,
oh_3914712_-8464763:f973d68:2017,tennis,claude-code,
oh_3919299_-8463621:f5190a9:2017,hybrid,claude-code,
oh_3909139_-8463436:fda52e4:2021,unknown,claude-code,
oh_3909139_-8463436:fda52e4:2019,unknown,claude-code,
oh_3909556_-8456863:f4fc21f:2017,tennis,claude-code,
oh_3913491_-8461064:fe5280c:2013,tennis,claude-code,
oh_3917439_-8459248:f0fed64:2013,unknown,claude-code,
oh_3914712_-8464763:f973d68:2021,tennis,claude-code,
oh_3914381_-8460761:f2cf0ed:2019,unknown,claude-code,
oh_3917402_-8474933:f44db95:2011,unknown,claude-code,
oh_3908590_-8462874:fb195bd:2020,removed,claude-code,worn slab in grass
oh_3908846_-8459179:fba09ed:2022,unknown,claude-code,
oh_3912589_-8464327:f106173:2020,tennis,claude-code,
oh_3917402_-8474933:f98a9ee:2011,unknown,claude-code,
oh_3911816_-8455138:f2caa76:2013,tennis,claude-code,
oh_3913209_-8468421:f24b5a7:2018,unknown,claude-code,
oh_3915569_-8461994:fc34cfd:2011,tennis,claude-code,
oh_3917402_-8474933:f44db95:2020,hybrid,claude-code,
oh_3918602_-8458759:fde84ff:2019,tennis,claude-code,
oh_3914175_-8465730:ffeec32:2017,unknown,claude-code,
oh_3908383_-8462934:f99ba5e:2013,tennis,claude-code,
oh_3913488_-8463969:f98f14b:2021,unknown,claude-code,
oh_3914711_-8458754:f004053:2013,hybrid,claude-code,
oh_3914712_-8464763:fd71aed:2017,tennis,claude-code,
oh_3912431_-8456662:f875907:2012,tennis,claude-code,
oh_3912431_-8456662:fad338a:2019,tennis,claude-code,
oh_3913488_-8463969:f293b47:2019,tennis,claude-code,
oh_3916667_-8459136:fe35c25:2021,tennis,claude-code,
oh_3913209_-8468421:f6e15eb:2016,unknown,claude-code,
oh_3908846_-8459179:fba09ed:2017,unknown,claude-code,
oh_3911281_-8464175:ff07f62:2019,tennis,claude-code,
oh_3917402_-8474933:f98a9ee:2017,tennis,claude-code,
oh_3915320_-8458811:f4dbf1c:2019,removed,claude-code,grass
oh_3911816_-8455138:f2caa76:2015,tennis,claude-code,
oh_3915320_-8458811:f4dbf1c:2017,removed,claude-code,grass
oh_3913883_-8461024:fd49e80:2013,removed,claude-code,grass with small slab
oh_3912589_-8464327:f106173:2013,unknown,claude-code,
oh_3912431_-8456662:fb4faf8:2019,tennis,claude-code,
oh_3917305_-8470508:f760018:2015,tennis,claude-code,
oh_3911281_-8464175:ff07f62:2017,tennis,claude-code,
oh_3918602_-8458759:fde84ff:2013,pickleball,claude-code,"four orange pickleball courts, no tennis lines visible"
oh_3911816_-8455138:f2caa76:2022,hybrid,claude-code,
oh_3914712_-8464763:f6e18a9:2011,tennis,claude-code,
oh_3913488_-8463969:f293b47:2021,unknown,claude-code,
oh_3915311_-8466972:f00d144:2017,pickleball,claude-code,three pickleball courts in column
oh_3909556_-8456863:f3b1dd9:2011,tennis,claude-code,
oh_3908555_-8459768:f658f80:2017,unknown,claude-code,
oh_3913209_-8468421:f24b5a7:2019,unknown,claude-code,
oh_3909546_-8464147:f521cd9:2022,removed,claude-code,roof
oh_3909546_-8464147:f9f1d6b:2016,tennis,claude-code,
oh_3917402_-8474933:f08335e:2022,tennis,claude-code,
oh_3908555_-8459768:f4af1c1:2017,tennis,claude-code,
oh_3913883_-8461024:fd49e80:2019,removed,claude-code,grass with small square
oh_3913488_-8463969:f98f14b:2015,tennis,claude-code,
oh_3914711_-8458754:f6e2143:2013,tennis,claude-code,
oh_3911334_-8460911:fd09a84:2016,unknown,claude-code,
oh_3910197_-8461058:f0b5b0f:2020,hybrid,claude-code,
oh_3908846_-8459179:fb97fd6:2014,unknown,claude-code,
oh_3918154_-8460075:f2ebf7a:2019,hybrid,claude-code,
oh_3909139_-8463436:fda52e4:2015,unknown,claude-code,
oh_3909556_-8456863:f3b1dd9:2012,tennis,claude-code,
oh_3912431_-8456662:fe94873:2017,tennis,claude-code,
oh_3908282_-8462567:f12032f:2014,unknown,claude-code,
oh_3908383_-8462934:f99ba5e:2019,hybrid,claude-code,
oh_3918901_-8459899:f37c8e7:2013,hybrid,claude-code,
oh_3917402_-8474933:f44db95:2013,unknown,claude-code,
oh_3908555_-8459768:f65494c:2017,unknown,claude-code,
oh_3909139_-8463436:fda52e4:2020,unknown,claude-code,
oh_3914712_-8464763:fd77452:2011,tennis,claude-code,
oh_3912431_-8456662:fa68584:2021,tennis,claude-code,
oh_3917402_-8474933:f98a9ee:2012,unknown,claude-code,
oh_3917305_-8470508:f119247:2020,unknown,claude-code,
oh_3917305_-8470508:fd27ff5:2013,unknown,claude-code,
oh_3909865_-8463312:f12161b:2019,tennis,claude-code,
oh_3918602_-8458759:f36d8f3:2011,pickleball,claude-code,orange pickleball court grid
oh_3918602_-8458759:f88e995:2013,pickleball,claude-code,orange pickleball court grid
oh_3911334_-8460911:fd09a84:2012,unknown,claude-code,
oh_3918602_-8458759:fb7b311:2019,tennis,claude-code,
oh_3918901_-8459899:f37c8e7:2011,hybrid,claude-code,
oh_3914712_-8464763:f026383:2021,tennis,claude-code,
oh_3908282_-8462567:f12032f:2011,unknown,claude-code,
oh_3912431_-8456662:fb4faf8:2022,tennis,claude-code,
oh_3909546_-8464147:f0625c2:2015,tennis,claude-code,
oh_3909556_-8456863:f479434:2012,tennis,claude-code,
oh_3909865_-8463312:fbc670a:2017,unknown,claude-code,
oh_3910197_-8461058:f31aa34:2017,tennis,claude-code,
oh_3914711_-8458754:fa9dc97:2017,tennis,claude-code,
oh_3909546_-8464147:f9f1d6b:2011,tennis,claude-code,
oh_3912431_-8456662:fb4faf8:2021,tennis,claude-code,
oh_3918154_-8460075:f2ebf7a:2013,hybrid,claude-code,
oh_3914712_-8464763:f6e18a9:2021,tennis,claude-code,
oh_3909556_-8456863:f3b1dd9:2014,tennis,claude-code,
oh_3913491_-8461064:f8ee62d:2019,pickleball,claude-code,two small blue pickleball courts
oh_3917402_-8474933:f44db95:2021,tennis,claude-code,
oh_3911334_-8460911:fd09a84:2017,unknown,claude-code,
